charging_rate,suucess_rate
8.1,0
8.2,0
8.299999999999999,0
8.4,0
8.5,0
8.6,0
8.7,0
8.799999999999999,0
8.9,0
9.0,0
9.1,0
9.2,0
9.3,0
9.4,0
9.5,0
9.6,0
9.7,0
9.8,0
9.9,0
10.0,0
10.1,0
10.2,0
10.3,4.4
10.4,21.4
10.5,35.4
10.6,52.0
10.7,61.6
10.8,68.6
10.9,72.2
11.0,79.6
11.1,84.6
11.2,85.8
11.3,89.2
11.4,94.4
11.5,94.8
11.6,97.8
11.7,97.2
11.8,97.4
11.9,98.2
12.0,98.6
12.1,99.6
12.2,99.4
12.3,99.0
12.4,100.0
12.5,100.0
12.6,99.6
12.7,99.8
12.8,100.0
